GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,med_rent
1400000US06037240800,6037240800,57.1,4.6,7.4,36923,4296,41.1,25.8,0.4,32.8,150,320.1,18.4,28.6,,,1038
1400000US06037240900,6037240900,51.7,4.6,8.2,38173,6355,53.5,24.8,0.3,21.4,90,326.3,17.2,32.3,,,1358
1400000US06037241001,6037241001,55.4,3.4,5.8,39509,4429,38.3,28.4,0.2,33.1,80,312.4,19.3,25.3,,,1116
1400000US06037241002,6037241002,52,4.5,8,58029,4065,29.4,38.7,0.1,31.8,90,328.6,9.8,22.2,,,1147
1400000US06037241110,6037241110,53.6,2.4,4.3,43182,3269,43.2,25.3,0,31.5,90,351,12.1,22.7,,,1225
1400000US06037241120,6037241120,47.4,5.3,10,30688,5137,32.1,37.9,0.1,29.8,80,335.8,13.4,37.7,,,1051
1400000US06037241201,6037241201,50.7,5.8,10.2,39063,2937,30.8,42.1,0.4,26.6,100,325.5,17.6,30.1,,,1245
1400000US06037241202,6037241202,52.1,6.2,10.7,40596,5436,42.3,36.8,0.3,20.5,100,387,10.1,31.9,,,1149
1400000US06037241300,6037241300,60.1,1.5,2.5,44583,2453,25.5,47.7,0.2,26.6,90,342.8,12.5,27.3,,,933
1400000US06037241400,6037241400,54.7,2.8,4.8,32460,3644,38.8,22.8,1.3,37.1,100,315.2,19.5,33.5,,,1231
1400000US06037242000,6037242000,55,8.1,12.8,32841,4054,41.2,23.1,0.3,35.3,100,319.7,21.3,33.3,,,1181
1400000US06037242100,6037242100,41.4,6.7,14,14650,2778,45.7,17.8,0.6,35.9,80,,10.7,74.8,,,530
1400000US06037242200,6037242200,43.3,6.6,13.3,25833,6183,32.9,28.1,0.1,38.8,100,300.6,20.2,46.8,,,1019
1400000US06037242300,6037242300,47.3,4.4,8.5,26480,5103,31.4,14.5,1.9,52.3,60,288.7,13.1,38.5,,,1078
1400000US06037242600,6037242600,43.4,11.7,21.3,16810,4745,20.2,30.3,0,49.4,90,355.6,8.6,55.6,,,502
